"BKAMA"	"Mindestalteranfrage mit Autorisierung"
"HKFRD"	"Freistellungsdaten abfragen"
"HKFRL"	"Freistellungsdaten löschen"
"HKFRN"	"Freistellungsdaten ändern"
"HKGAM"	"Gastmeldung"
"HKGUB"	"Garantierte Überweisung"
"HKHSI"	"HHD/Secoder Informationen übermitteln"
"HKIDN"	"Identifikation"
"HKINF"	"Informationen anfordern"
"HKISA"	"Anforderung eines öffentlichen Schlüssels"
"HKKAN"	"Kontoumsätze anfordern/neue Umsätze"
"HKKAS"	"Kartensperre beantragen"
"HKKAU"	"Übersicht Kontoauszüge "
"HKKAZ"	"Kontoumsätze anfordern/Zeitraum"
"HKKDD"	"Kundendaten anfordern"
"HKKDM"	"Kundenmeldung"
"HKKIA"	"Kreditinstitutsangebote anfordern"
"HKKIF"	"Kontoinformationen anfordern"
"HKKOM"	"Kommunikationszugang anfordern"
"HKLAS"	"Einzellastschrift"
"HKLGA"	"Laden GeldKarte abmelden"
"HKLGB"	"Laden GeldKarte bestätigen"
"HKLGD"	"Laden GeldKarte durchführen"
"HKLGE"	"Laden GeldKarte einleiten"
"HKLGO"	"Laden GeldKarte Storno vorbereiten"
"HKLGR"	"Laden GeldKarte registrieren"
"HKLGS"	"Laden GeldKarte Statusanfrage"
"HKLGT"	"Laden GeldKarte Storno durchführen"
"HKLGV"	"Laden GeldKarte vorbereiten"
"HKLGX"	"Laden GeldKarte Storno bestätigen"
"HKLSW"	"Lastschriftwiderspruch beantragen"
"HKLWB"	"Bestand Lastschriftwiderspruch"
"HKMTA"	"Mobilfunkverbindung ändern"
"HKMTF"	"Mobilfunkverbindung freischalten"
"HKMTR"	"Mobilfunkverbindung registrieren"
"HKNEA"	"Liste Neuemissionen anfordern"
"HKNEZ"	"Neuemission zeichnen"
"HKOAN"	"Orderanzeige anfordern"
"HKPAE"	"PIN ändern"
"HKPPD"	"Prepaidkarte laden"
"HKPRO"	"Statusprotokoll anfordern"
"HKPSA"	"PIN-Sperre aufheben"
"HKPSP"	"PIN sperren"
"HKQTG"	"Empfangsquittung"
"HKSAK"	"Schlüsseländerung"
"HKSAL"	"Saldenabfrage"
"HKSLA"	"Sammellastschrift"
"HKSLB"	"Bestand terminierter Sammellastschriften anfordern"
"HKSLE"	"Terminierte Sammellastschrift einreichen"
"HKSLL"	"Terminierte Sammellastschrift löschen"
"HKSPA"	"SEPA-Kontoverbindung anfordern"
"HKSRB"	"Sorten- und Reisescheckbestellung"
"HKSRK"	"Sorten- und Reisescheckkonditionen anfordern"
"HKSSP"	"Schlüsselsperrung"
"HKSTP"	"Euro-STP-Zahlung"
"HKSUB"	"Sammelüberweisung"
"HKSYN"	"Synchronisierung"
"HKSZT"	"Serverzeitabfrage"
"HKTAB"	"TAN-Generator/Liste anzeigen Bestand"
"HKTAN"	"Zwei-Schritt TAN Einreichung"
"HKTAU"	"TAN-Generator an- bzw. ummelden"
"HKTAZ"	"TAN-Verbrauchsinformationen anzeigen"
"HKTEA"	"Terminierte Einzellastschrift ändern"
"HKTEB"	"Bestand terminierter Einzellastschriften anfordern"
"HKTEE"	"Terminierte Einzellastschrift einreichen"
"HKTEL"	"Terminierte Einzellastschrift löschen"
"HKTLA"	"TAN-Liste anfordern"
"HKTLF"	"TAN-Liste freischalten"
"HKTML"	"TAN-Medium deaktivieren oder löschen"
"HKTMV"	"Terminvereinbarung "
"HKTSB"	"Bestand terminierter Sammelüberweisungen anfordern"
"HKTSE"	"Terminierte Sammelüberweisung einreichen"
"HKTSL"	"Terminierte Sammelüberweisung löschen"
"HKTSP"	"TAN-Liste löschen"
"HKTSY"	"TAN-Generator Synchronisierung"
"HKTUA"	"Terminierte Überweisung ändern "
"HKTUB"	"Bestand terminierter Überweisungen anfordern"
"HKTUE"	"Terminierte Überweisung einreichen "
"HKTUL"	"Terminierte Überweisung löschen "
"HKUEB"	"Einzelüberweisung"
"HKUMB"	"Umbuchung"
"HKVDB"	"Vordruckbestellung"
"HKVIS"	"Secoder-spezifische Visualisierungsinformationen"
"HKVMK"	"Vormerkposten anfordern"
"HKVUA"	"Vorbereitete Überweisung ändern"
"HKVUB"	"Bestand vorbereiteter Überweisungen abfragen"
