MFI_ID	BIC	HOST	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	DOMICILE	HEAD_NAME	HEAD_ID	RESERVE	EXEMPT
DE02374	GENODEF1GLU	DE	Raiffeisenbank eG	11 63	Bahnhofstraße 2	36137	Großenlüder	Credit Institution				Yes	No
DE02432	GENODEF1BTA	DE	Raiffeisenbank eG	1240	Europaplatz 1	34225	Baunatal	Credit Institution				Yes	No
DE02018	GENODE61ELZ	DE	Raiffeisenbank eG	63	Dorfstr. 5a	74834	Elztal	Credit Institution				Yes	No
DE02027	GENODE61GUN	DE	Raiffeisenbank eG	1140	Wildtalstr. 2	79194	Gundelfingen, Breisgau	Credit Institution				Yes	No
DE03078	GENODED1SMY	DE	Raiffeisenbank eG	11 29	Hauptstraße 76	52152	Simmerath	Credit Institution				Yes	No
DE03109	GENODE61HXH	DE	Raiffeisenbank eG	1105	Obere Hauptstr. 49	76863	Herxheim bei Landau, Pfalz	Credit Institution				Yes	No
DE06333	GENODEF1MAL	DE	Raiffeisenbank eG	11 54	Von-Thünen-Straße 44	17166	Teterow	Credit Institution				Yes	No
DE03212	GENODEF1RHY	DE	Raiffeisenbank eG	1720	Markt 75	25746	Heide, Holstein	Credit Institution				Yes	No
DE03215	GENODEF1RLB	DE	Raiffeisenbank eG	1125	Alte Wache 17	21481	Lauenburg, Elbe	Credit Institution				Yes	No
DE03239	GENODEF1TOB	DE	Raiffeisenbank eG		Hauptstr. 56	24819	Todenbüttel	Credit Institution				Yes	No
DE02851	GENODED1HRB	DE	Raiffeisenbank eG	14 09	Siemensstraße 5	52525	Heinsberg, Rheinl.	Credit Institution				Yes	No
DE02357	GENODEF1FLN	DE	Raiffeisenbank eG	11 65	Hauptstraße 4	36103	Flieden	Credit Institution				Yes	No
DE03817	RAEIDE51XXX	DE	Raiffeisenbank eG	12 51	Hauptstraße 2 - 4	63517	Rodenbach b Hanau	Credit Institution				Yes	No
DE03824	GENODEF1WOH	DE	Raiffeisenbank eG	1380	Burgstr. 28-30	34466	Wolfhagen	Credit Institution				Yes	No
DE04994	GENODEF1EBY	DE	Raiffeisenbank eG		Raiffeisenstraße 2	35096	Weimar (Lahn)	Credit Institution				Yes	No
