Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
90;12070024;Deutsche Bank Privat und Geschäftskunden AG;Seelow;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
91;12070024;Deutsche Bank Privat und Geschäftskunden AG;Senftenberg, NL;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
92;12070024;Deutsche Bank Privat und Geschäftskunden AG;Spremberg, NL;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
93;12070024;Deutsche Bank Privat und Geschäftskunden AG;Strausberg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
94;12070024;Deutsche Bank Privat und Geschäftskunden AG;Teltow;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
95;12070024;Deutsche Bank Privat und Geschäftskunden AG;Weißwasser /O.L.;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
96;12070024;Deutsche Bank Privat und Geschäftskunden AG;Werder (Havel);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
97;12070024;Deutsche Bank Privat und Geschäftskunden AG;Wittstock, Dosse;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
98;12070024;Deutsche Bank Privat und Geschäftskunden AG;Zossen b Berlin;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
99;12080000;Dresdner Bank;Berlin;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
100;12096597;Sparda-Bank Berlin eG;Berlin;Sparda-Datenverarbeitung eG;BVR;;;2.2;;;;;;;;;;;;https://www.bankingonline.de/hbci/pintan/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
101;13010111;SEB AG;Rostock;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
102;13040000;Commerzbank;Rostock;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
103;13040000;Commerzbank;Wismar;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
104;13040000;Commerzbank;Roggentin;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
105;13050000;Ostseesparkasse Rostock;Rostock;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
106;13051042;Kreissparkasse Rügen;Rügen;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
